Id ,Original Sentence,Transformed Sentence,Label
112,He proposed that they should go out for dinner,"He said, """"Let's go out for dinner.""""",Indirect to Direct Speech
113,The old man wished that I might live long.,"The old man said to me, """"May you live long.""""",Indirect to Direct Speech
114,She told me that she might go to London,"She said to me, """"I may go to London.""""",Indirect to Direct Speech
115,He asked me if I had seen his wallet.,"He asked me, """"Have you seen his wallet?""""",Indirect to Direct Speech
116,She said she had to reach the office early.,"She said, """"I must reach the office early.""""",Indirect to Direct Speech
117,The chairman said that the meeting was over,"The chairman said, """"The meeting is over.""""",Indirect to Direct Speech
118,He suggested that we should play a game.,"He said, """"Let's play a game.""""",Indirect to Direct Speech
119,She confessed with regret that she had been very foolish.,"She said, """"Alas! I have been very foolish.""""",Indirect to Direct Speech
120,He asked the child if he knew the way to the park.,"He asked the child, """"Do you know the way to the park?""""",Indirect to Direct Speech
121,She told her friend that she was leaving for Mumbai the next day.,"She said to her friend, """"I am leaving for Mumbai tomorrow.""""",Indirect to Direct Speech
122,He said that he couldn't attend the party.,"He said, """"I can't attend the party.""""",Indirect to Direct Speech
123,She requested the guest to have a seat.,"She said to the guest, """"Please have a seat.""""",Indirect to Direct Speech
124,He wondered when the results would be announced.,"He thought, """"When will the results be announced?""""",Indirect to Direct Speech
125,She said that she worked in a bank,"She said, """"I work in a bank.""""",Indirect to Direct Speech
126,He asked her if she liked classical music,"He asked her, """"Do you like classical music?""""",Indirect to Direct Speech
127,The guide told the tourists that it was a very old monument.,"The guide said to the tourists, """"This is a very old monument.""""",Indirect to Direct Speech
128,She said that her brother was a doctor.,"She said, """"My brother is a doctor.""""",Indirect to Direct Speech
129,He told the driver to stop the car.,"He said to the driver, """"Stop the car.""""",Indirect to Direct Speech
130,She said that she had been waiting for a long time.,"She said, """"I have been waiting for a long time.""""",Indirect to Direct Speech
131,He asked me what my name was.,"He asked me, """"What is your name?""""",Indirect to Direct Speech
132,She told him she would never forget his kindness.,"She said to him, """"I will never forget your kindness.""""",Indirect to Direct Speech
133,He is a talented musician.,He is not a talented musician.,Positive to Negative
134,The package has arrived this morning.,The package has not arrived this morning.,Positive to Negative
135,They will attend the meeting tomorrow.,They will not attend the meeting tomorrow.,Positive to Negative
136,She understands the complexity of the situation.,She does not understand the complexity of the situation.,Positive to Negative
137,We found the keys under the sofa.,We did not find the keys under the sofa.,Positive to Negative
138,The sun rises in the east.,The sun does not rise in the west,Positive to Negative
139,He has completed all his assignments.,He has not completed all his assignments.,Positive to Negative
140,I am going to the market.,I am not going to the market.,Positive to Negative
141,This is the correct answer.,This is not the correct answer,Positive to Negative
142,She was happy with the results,She was not happy with the results,Positive to Negative
143,The store is open on Sundays,The store is not open on Sundays.,Positive to Negative
144,You should worry about the future.,You should not worry about the future.,Positive to Negative
145,He can speak three languages fluently.,He cannot speak three languages fluently.,Positive to Negative
146,The information is available to the public,The information is not available to the public,Positive to Negative
147,She always arrives on time.,She never arrives on time.,Positive to Negative
148,They were aware of the risks involved.,They were not aware of the risks involved.,Positive to Negative
149,It is raining outside,It is not raining outside.,Positive to Negative
150,We have enough food for everyone.,We do not have enough food for everyone.,Positive to Negative
151,The plan seems feasible.,The plan does not seem feasible.,Positive to Negative
152,He is a member of the club.,He is not a member of the club.,Positive to Negative
153,This machine works properly,This machine does not work properly,Positive to Negative
154,She likes to travel,She does not like to travel.,Positive to Negative
155,I agree with your opinion.,I do not agree with your opinion.,Positive to Negative
156,They have a big house in the city.,They do not have a big house in the city,Positive to Negative
157,The company made a profit last year.,The company did not make a profit last year,Positive to Negative
158,The evidence is conclusive.,The evidence is not conclusive.,Positive to Negative
159,She remembers my name.,She does not remember my name,Positive to Negative
160,This chemical is harmful to the environment,This chemical is not harmful to the environment.,Positive to Negative
161,He believes in ghosts.,He does not believe in ghosts,Positive to Negative
162,We must leave now.,We must not leave now,Positive to Negative
163,The dog is barking loudly.,The dog is not barking loudly.,Positive to Negative
164,It is possible to finish the work today.,It is not possible to finish the work today.,Positive to Negative
165,He felt tired after the long journey.,He did not feel tired after the long journey.,Positive to Negative
166,I do not understand the question.,I understand the question.,Negative to Positive
167,She has never visited Paris.,She has visited Paris.,Negative to Positive
168,He cannot lift that heavy box.,He can lift that heavy box,Negative to Positive
169,They will not be joining us for dinner,They will be joining us for dinner,Negative to Positive
170,The project was not successful.,The project was successful,Negative to Positive
171,There is no milk in the fridge.,There is milk in the fridge.,Negative to Positive
172,She didn't like the movie at all.,She liked the movie.,Negative to Positive
173,The students were not paying attention.,The students were paying attention,Negative to Positive
174,I have no idea what you are talking about.,I have an idea what you are talking about.,Negative to Positive
175,He isn't the right person for the job,He is the right person for the job.,Negative to Positive
176,We could not find the solution.,We could find the solution.,Negative to Positive
177,This isn't a good time to talk.,This is a good time to talk.,Negative to Positive
178,She has no interest in sports.,She has an interest in sports,Negative to Positive
179,The library is not open today.,The library is open today,Negative to Positive
180,You should not eat junk food.,You should eat junk food.,Negative to Positive
181,They don't have any children.,They have children,Negative to Positive
182,The train hasn't arrived yet.,The train has arrived.,Negative to Positive
183,He never admits his mistakes,He always admits his mistakes,Negative to Positive
184,This strategy is not effective.,This strategy is effective.,Negative to Positive
185,I am not tired.,I am tired.,Negative to Positive
186,The defendant was not guilty,The defendant was guilty.,Negative to Positive
187,There was no one in the room.,There was someone in the room.,Negative to Positive
188,He did not recognize me.,He recognized me.,Negative to Positive
189,She won't be able to come.,She will be able to come,Negative to Positive
190,This information is not reliable,This information is reliable,Negative to Positive
191,He is not a citizen of this country.,He is a citizen of this country.,Negative to Positive
192,We have never been to an opera.,We have been to an opera.,Negative to Positive
193,The car does not need a repair.,The car needs a repair.,Negative to Positive
194,She is not my sister.,She is my sister.,Negative to Positive
195,There is nothing to worry about.,There is something to worry about.,Negative to Positive
196,He was not present at the meeting.,He was present at the meeting.,Negative to Positive
197,They are not ready for the exam.,They are ready for the exam.,Negative to Positive
198,I cannot swim.,I can swim,Negative to Positive
199,The weather is not pleasant today.,The weather is pleasant today.,Negative to Positive
200,She does not have a driver's license,She has a driver's license,Negative to Positive
